State,Element,Notes,Value,Units,BegDate,EndDate,Location,Station ID,Status
Kentucky,All-Time Minimum Temperature,-37,degrees F,19940119,19940119,SHELBYVILLE 1 E,157324,E,
Louisiana,All-Time Maximum Temperature,114,degrees F,19360810,19360810,PLAIN DEALING,167344,E,
Louisiana,All-Time Minimum Temperature,-16,degrees F,18990213,18990213,MINDEN,166244,E,
Maine,All-Time Maximum Temperature,105,degrees F,19110710,19110710,NORTH BRIDGTON,175875,E1,
Maine,All-Time Maximum Temperature,105,degrees F,19110704,19110704,NORTH BRIDGTON,175875,E1,
Maine,All-Time Minimum Temperature,-50,degrees F,20090116,20090116,"Big Black River (nr. Saint Pamphile, PQ)",USGS BBRM1,NS,"The record minimum temperature of -50 degrees F was observed by an automated observing station operated by the US Geological Survey (USGS) at a river gage on the Big Black River near the Canadian border. The data are archived by the USGS, and the validity of the observation was confirmed by the State Climate Extremes Committee. The value also ties observations in NH and VT for the coldest temperature recorded for the Northeast region of the United States."
Maryland,All-Time Maximum Temperature,109,degrees F,19180806,19180806,CUMBERLAND,182280,E3,
Maryland,All-Time Maximum Temperature,109,degrees F,19180807,19180807,CUMBERLAND,182280,E3,
Maryland,All-Time Maximum Temperature,109,degrees F,19360710,19360710,FREDERICK POLICE BRKS,183348,E3,
Maryland,All-Time Maximum Temperature,109,degrees F,18980703,18980703,BOETTCHERVILLE,180960,E3,
Maryland,All-Time Minimum Temperature,-40,degrees F,19120113,19120113,OAKLAND 1 SE,186620,E,
Massachusetts,All-Time Maximum Temperature,107,degrees F,19750802,19750802,CHESTER 2,191430,E2,
Massachusetts,All-Time Minimum Temperature,-35,degrees F,19430215,19430215,COLDBROOK,191589,E1,
Massachusetts,All-Time Minimum Temperature,-35,degrees F,19810112,19810112,CHESTER 2,191430,E1,
Massachusetts,All-Time Minimum Temperature,-35,degrees F,19040105,19040105,TAUNTON,198367,E1,
Michigan,All-Time Maximum Temperature,112,degrees F,19360713,19360713,STANWOOD,207834,E2,
Michigan,All-Time Minimum Temperature,-51,degrees F,19340209,19340209,VANDERBILT 11ENE,208417,E,
Minnesota,All-Time Maximum Temperature,115,degrees F,19170729,19170729,BEARDSLEY,210541,N1A,"The previously reported record of 114 degrees F was reported by observer at Moorhead on 7/6/1936 as 113.6 degrees F (unlikely to be accurate given the 1-degree precision of the mercury in glass thermometer in use at the time), and rounded to 114 degrees F. The extreme reported above for Beardsley was observed as 114.5 degrees F and has been rounded to 115 degrees F per current rounding practices."
Minnesota,All-Time Minimum Temperature,-60,degrees F,19960202,19960202,TOWER 2S,218311,E,
Mississippi,All-Time Maximum Temperature,115,degrees F,19300729,19300729,HOLLY SPRINGS 2 N,224168,E,
Mississippi,All-Time Minimum Temperature,-19,degrees F,19660130,19660130,CORINTH 7 SW,221962,E,
Missouri,All-Time Maximum Temperature,118,degrees F,19540714,19540714,WARSAW 1,238733,E3,
Missouri,All-Time Minimum Temperature,-40,degrees F,19050213,19050213,WARSAW 1,238733,E,
Montana,All-Time Maximum Temperature,117,degrees F,18930720,18930720,GLENDIVE,243581,E1,
Montana,All-Time Maximum Temperature,117,degrees F,19370705,19370705,MEDICINE LAKE 3 SE,245572,E1,
Montana,All-Time Minimum Temperature,-70,degrees F,19540120,19540120,ROGERS PASS,247156,E,
Nebraska,All-Time Maximum Temperature,118,degrees F,19340715,19340715,GENEVA,253175,E1,
Nebraska,All-Time Maximum Temperature,118,degrees F,19360717,19360717,HARTINGTON,253630,E1,
Nebraska,All-Time Maximum Temperature,118,degrees F,19360724,19360724,MINDEN,255565,E1,
Nebraska,All-Time Minimum Temperature,-47,degrees F,19891222,19891222,OSHKOSH,256385,E1,
Nebraska,All-Time Minimum Temperature,-47,degrees F,18990212,18990212,BRIDGEPORT,251145,E1,
Nevada,All-Time Maximum Temperature,125,degrees F,19940629,19940629,LAUGHLIN,264480,E,
Nevada,All-Time Minimum Temperature,-50,degrees F,19370108,19370108,SAN JACINTO,267284,E,
New Hampshire,All-Time Maximum Temperature,106,degrees F,19110704,19110704,NASHUA 2 NNW,275712,E,
New Hampshire,All-Time Minimum Temperature,-50,degrees F,18850122,18850122,MOUNT WASHINGTON,14755,NA,Value of -50 degrees F exceeds the previously reported all-time minimum temperature extreme of -46 on 1/8/1968. The -50 degrees F is not yet present in NCDC's digital data files but exists on observation forms and publications in NCDC archives. The value ties with Vermont and Maine for coldest temperature recorded in the Northeast region of the United States.
New Jersey,All-Time Maximum Temperature,110,degrees F,19360710,19360710,RUNYON,287825,E,
New Jersey,All-Time Minimum Temperature,-34,degrees F,19040105,19040105,RIVER VALE,287620,E,
New Mexico,All-Time Maximum Temperature,122,degrees F,19940627,19940627,WASTE ISOLT'N PILOT PLT,299569,E,
New Mexico,All-Time Minimum Temperature,-50,degrees F,19510201,19510201,GAVILAN,293505,E,
New York,All-Time Maximum Temperature,108,degrees F,19260722,19260722,TROY,308597,E,
New York,All-Time Minimum Temperature,-52,degrees F,19790218,19790218,OLD FORGE,306184,E1,
North Carolina,All-Time Maximum Temperature,110,degrees F,19830821,19830821,FAYETTEVILLE REGIONAL AP GRANNIS FIELD,93740,E,
North Carolina,All-Time Minimum Temperature,-34,degrees F,19850121,19850121,MT. MITCHELL,315923,E,
North Dakota,All-Time Maximum Temperature,121,degrees F,19360706,19360706,STEELE 4N,328366,E,
North Dakota,All-Time Minimum Temperature,-60,degrees F,19360215,19360215,PARSHALL,326867,E,
Ohio,All-Time Maximum Temperature,113,degrees F,19340721,19340721,GALLIPOLIS,333029,E,
Ohio,All-Time Minimum Temperature,-39,degrees F,18990210,18990210,MILLIGAN,335310,E,
Oklahoma,All-Time Maximum Temperature,120,degrees F,19360810,19360810,POTEAU,347246,E1A,
Oklahoma,All-Time Maximum Temperature,120,degrees F,19360812,19360812,ALTUS IRIG RES STATION,340179,E1A,
Oklahoma,All-Time Maximum Temperature,120,degrees F,19360718,19360718,ALVA 1W,340193,E1A,"A 120 degrees F observed at Tipton observed by an Oklahoma Mesonet automated weather station on June 27, 1994 was originally approved. However, this value was later withdrawn after problems with the instrumentation configuration were discovered several years later."
Oklahoma,All-Time Maximum Temperature,120,degrees F,19360719,19360719,ALTUS IRIG RES STATION,340179,E1A,
Oklahoma,All-Time Minimum Temperature,-31,degrees F,20110210,20110210,Nowata,NOWA (OK Mesonet),NSA,
Oregon,All-Time Maximum Temperature,119,degrees F,18980810,18980810,PENDLETON DOWNTOWN,356541,E1,
Oregon,All-Time Maximum Temperature,119,degrees F,18980729,18980729,PRINEVILLE,356883,E1,
Oregon,All-Time Minimum Temperature,-54,degrees F,19330210,19330210,SENECA,357675,E1,
Oregon,All-Time Minimum Temperature,-54,degrees F,19330209,19330209,UKIAH,358726,E1,
Pennsylvania,All-Time Maximum Temperature,111,degrees F,19360710,19360710,PHOENIXVILLE 1 E,366927,E1,
Pennsylvania,All-Time Maximum Temperature,111,degrees F,19360709,19360709,PHOENIXVILLE 1 E,366927,E1,
Pennsylvania,All-Time Minimum Temperature,-42,degrees F,19040105,19040105,SMETHPORT,368190,E,
Puerto Rico,All-Time Maximum Temperature,104,degrees F,19960702,19960702,MONA ISLAND 2,666258,NA,"Listed record value of 104 degrees F is being reviewed. If found to be invalid, the next highest temperature is 100 degrees F on August 21, 2003 at Ponce 4E."
Puerto Rico,All-Time Minimum Temperature,40,degrees F,19660124,19660124,SAN SEBASTIAN 2 WNW,668881,N1,
Puerto Rico,All-Time Minimum Temperature,40,degrees F,19850327,19850327,RINCON,668126,N1,
Puerto Rico,All-Time Minimum Temperature,40,degrees F,19110309,19110309,AIBONITO 1 S,660158,N1,
Rhode Island,All-Time Maximum Temperature,104,degrees F,19750802,19750802,PROVIDENCE,14765,E,
Rhode Island,All-Time Minimum Temperature,-28,degrees F,19420111,19420111,WOOD RIVER JUNCTION,379327,NA,"Previously reported record of -25 degrees F at Greene on February 5, 1996 could not be verified. Source is unknown and no documentation could be found. Value is exceeded by the currently reported record at Wood River Junction."
South Carolina,All-Time Maximum Temperature,113,degrees F,20120629,20120629,COLUMBIA UNIV OF SC,381944,NS,
South Carolina,All-Time Minimum Temperature,-19,degrees F,19850121,19850121,CAESARS HEAD,381256,E,
South Dakota,All-Time Maximum Temperature,120,degrees F,20060715,20060715,FORT PIERRE 17 WSW,393076,N1,
South Dakota,All-Time Maximum Temperature,120,degrees F,19360705,19360705,GANN VALLEY 4NW,393217,N1,
South Dakota,All-Time Minimum Temperature,-58,degrees F,19360217,19360217,MC INTOSH 6 SE,395381,E,
Tennessee,All-Time Maximum Temperature,113,degrees F,19300809,19300809,PERRYVILLE,407099,E1,
Tennessee,All-Time Maximum Temperature,113,degrees F,19300729,19300729,PERRYVILLE,407099,E1,
Tennessee,All-Time Minimum Temperature,-32,degrees F,19171230,19171230,MOUNTAIN CITY,406287,E,
Texas,All-Time Maximum Temperature,120,degrees F,19360812,19360812,SEYMOUR 3NW,418221,E1,
Texas,All-Time Maximum Temperature,120,degrees F,19940628,19940628,MONAHANS,415999,E1,
Texas,All-Time Minimum Temperature,-23,degrees F,18990212,18990212,TULIA NEAR,419176,SA1,"Historical value at Tulia 6NE became available upon digitization and update of previously paper-bound data. It was examined retroactively, found, to be valid and tied the prior stated record."
Texas,All-Time Minimum Temperature,-23,degrees F,19330208,19330208,SEMINOLE,418201,E1,
Utah,All-Time Maximum Temperature,117,degrees F,19850705,19850705,ST. GEORGE,427516,EA,"A 118 degrees F temperature was observed on July 4, 2007 at a Remote Automated Weather Station (RAWS) located near the Utah Welcome Center on I-15 south of St. George. However, a decision on the validity of this value has not yet been reached by the State Climate Extremes Committee."
Utah,All-Time Minimum Temperature,-50,degrees F,19130105,19130105,EAST PORTAL,422319,NA,"The previously reported record of -69 degrees F set at Peter's Sink on Feb 1, 1985 is widely considered an accurate observation, but no information concerning the observation or the station could be identified, and the value is heavily affected by the local terrain. The -50 degrees F at Strawberry Tunnel is the coldest temperature observation that can be verified from publicly available observations at established observation stations in Utah."
Vermont,All-Time Maximum Temperature,107,degrees F,19120707,19120707,VERNON,438600,N,
Vermont,All-Time Minimum Temperature,-50,degrees F,19331230,19331230,BLOOMFIELD,430690,E,The -50 degrees F minimum temperature ties with values from NH and ME as the all-time coldest temperature for the Northeast region of the United States.
Virgin Islands (U.S.),All-Time Maximum Temperature,99,degrees F,19940804,19940804,CYRIL E. KING AIRPORT,11640,N1A,
Virgin Islands (U.S.),All-Time Maximum Temperature,99,degrees F,19880731,19880731,CRUZ BAY,671980,N1A,
Virgin Islands (U.S.),All-Time Maximum Temperature,99,degrees F,19960623,19960623,CYRIL E. KING AIRPORT,11640,N1A,
Virgin Islands (U.S.),All-Time Minimum Temperature,51,degrees F,19540131,19540131,ANNAS HOPE,670260,NA,
Virginia,All-Time Maximum Temperature,110,degrees F,19540715,19540715,BALCONY FALLS,440411,E1,
Virginia,All-Time Maximum Temperature,110,degrees F,19000705,19000705,COLUMBIA 2SSE,441929,E1,
Virginia,All-Time Maximum Temperature,110,degrees F,19000707,19000707,COLUMBIA 2SSE,441929,E1,
Virginia,All-Time Minimum Temperature,-30,degrees F,19850121,19850121,MOUNT LAKE BIOL STN,445828,E,The date for the existing record of -30 degrees F at Mountain Lake Biological Station was incorrect by one day. Date listed is the correct observation date.
Washington,All-Time Maximum Temperature,118,degrees F,19610805,19610805,ICE HARBOR DAM,453883,E1,
Washington,All-Time Maximum Temperature,118,degrees F,19280724,19280724,WAHLUKE,458903,E1,
Washington,All-Time Minimum Temperature,-48,degrees F,19681230,19681230,WINTHROP 1 WSW,459376,E2,
West Virginia,All-Time Maximum Temperature,112,degrees F,19300804,19300804,MOOREFIELD 1 SSE,466163,E1,
West Virginia,All-Time Maximum Temperature,112,degrees F,19360710,19360710,MARTINSBURG EASTERN WEST VIRGINIA REGIONAL AIRPORT,13734,E1,
West Virginia,All-Time Minimum Temperature,-37,degrees F,19171230,19171230,LEWISBURG 3 N,465224,E,
Wisconsin,All-Time Maximum Temperature,114,degrees F,19360713,19360713,WISCONSIN DELLS WWTP,479319,E,
Wisconsin,All-Time Minimum Temperature,-55,degrees F,19960202,19960202,COUDERAY 7 W,471847,E1,
Wisconsin,All-Time Minimum Temperature,-55,degrees F,19960204,19960204,COUDERAY 7 W,471847,E1,
Wyoming,All-Time Maximum Temperature,115,degrees F,19830808,19830808,BASIN,480540,N1,
Wyoming,All-Time Maximum Temperature,115,degrees F,19880715,19880715,DIVERSION DAM,482595,N1,
Wyoming,All-Time Minimum Temperature,-66,degrees F,19330209,19330209,Riverside Ranger Stn. (Yellowstone NP),,EA,"Original observation of -66 degrees F at Riverside Ranger Station on February 9, 1933 is maintained in Department of Interior archives."
